,District,Year,Season,Crop,Area,Production,Productivity,CropLabel,Rainfall,Temperature
378,PUNE,2014,Kharif     ,Bajra,31500,26300,0.834920635,2,2,1
383,SOLAPUR,2001,Kharif     ,Bajra,11800,5400,0.457627119,1,1,1
388,SOLAPUR,2002,Kharif     ,Bajra,25100,9500,0.378486056,1,0,2
393,SOLAPUR,2003,Kharif     ,Bajra,9700,3700,0.381443299,1,1,2
398,SOLAPUR,2004,Kharif     ,Bajra,26200,15000,0.572519084,2,0,2
403,SOLAPUR,2005,Kharif     ,Bajra,14800,6700,0.452702703,1,1,2
406,SOLAPUR,2006,Kharif     ,Bajra,27500,7700,0.28,1,0,1
410,SOLAPUR,2007,Kharif     ,Bajra,215,91,0.423255814,1,1,1
415,SOLAPUR,2008,Kharif     ,Bajra,1800,800,0.444444444,1,1,2
421,SOLAPUR,2009,Kharif     ,Bajra,14400,5200,0.361111111,1,1,1
426,SOLAPUR,2010,Kharif     ,Bajra,18400,9600,0.52173913,1,1,2
431,SOLAPUR,2011,Kharif     ,Bajra,9900,3900,0.393939394,1,0,2
436,SOLAPUR,2012,Kharif     ,Bajra,6300,200,0.031746032,0,0,2
441,SOLAPUR,2013,Kharif     ,Bajra,6300,2200,0.349206349,1,1,1
446,SOLAPUR,2014,Kharif     ,Bajra,5500,2200,0.4,1,0,1
451,YAVATMAL,2001,Kharif     ,Bajra,7400,2700,0.364864865,1,1,3
456,YAVATMAL,2002,Kharif     ,Bajra,5600,3500,0.625,2,1,3
461,YAVATMAL,2003,Kharif     ,Bajra,5000,2200,0.44,1,2,3
466,YAVATMAL,2004,Kharif     ,Bajra,3600,1600,0.444444444,1,1,3
470,YAVATMAL,2005,Kharif     ,Bajra,3000,1500,0.5,1,3,4
473,YAVATMAL,2006,Kharif     ,Bajra,800,400,0.5,1,3,2
476,YAVATMAL,2007,Kharif     ,Bajra,7,4,0.571428571,2,1,3
480,YAVATMAL,2008,Kharif     ,Bajra,1500,800,0.533333333,1,1,3
485,YAVATMAL,2009,Kharif     ,Bajra,1500,1100,0.733333333,2,0,3
489,YAVATMAL,2010,Kharif     ,Bajra,1300,700,0.538461538,1,2,3
494,YAVATMAL,2011,Kharif     ,Bajra,400,300,0.75,2,1,2
499,YAVATMAL,2012,Kharif     ,Bajra,300,300,1,3,2,4
504,YAVATMAL,2013,Kharif     ,Bajra,100,100,1,3,3,2
