,District,Year,Month,Rainfall,Average Rainfall,Temperature,Average Temperature,Pressure,Average Pressure,Drought Classification
1289,Yavatmal,2012,June,3,3,1,2,4,4,0
1290,Yavatmal,2012,July,6,5,1,2,3,3,0
1291,Yavatmal,2012,August,3,4,1,2,3,3,0
1292,Yavatmal,2012,September,4,3,3,4,3,3,0
1293,Yavatmal,2012,October,1,1,5,6,3,3,0
1294,Yavatmal,2012,November,1,1,5,8,2,2,0
1295,Yavatmal,2012,December,1,1,5,8,1,1,0
1296,Yavatmal,2013,January,1,1,6,8,1,2,0
1297,Yavatmal,2013,February,1,1,5,7,2,2,0
1298,Yavatmal,2013,March,1,1,6,7,3,3,0
1299,Yavatmal,2013,April,1,1,3,4,4,4,0
1300,Yavatmal,2013,May,1,1,2,3,4,5,0
1301,Yavatmal,2013,June,6,3,1,2,3,4,0
1302,Yavatmal,2013,July,8,5,1,2,3,3,0
1303,Yavatmal,2013,August,4,4,2,2,3,3,0
1304,Yavatmal,2013,September,2,3,3,4,2,3,0
1305,Yavatmal,2013,October,2,1,4,6,2,3,0
1306,Yavatmal,2013,November,1,1,5,8,2,2,0
1307,Yavatmal,2013,December,1,1,6,8,1,1,0
1308,Yavatmal,2014,January,1,1,6,8,1,2,1
1309,Yavatmal,2014,February,1,1,5,7,2,2,1
1310,Yavatmal,2014,March,1,1,5,7,3,3,1
1311,Yavatmal,2014,April,1,1,4,4,4,4,1
1312,Yavatmal,2014,May,1,1,3,3,4,5,1
1313,Yavatmal,2014,June,1,3,1,2,3,4,1
1314,Yavatmal,2014,July,3,5,1,2,3,3,1
1315,Yavatmal,2014,August,3,4,3,2,3,3,1
1316,Yavatmal,2014,September,3,3,3,4,3,3,0
1317,Yavatmal,2014,October,1,1,5,6,3,3,1
1318,Yavatmal,2014,November,1,1,6,8,2,2,1
1319,Yavatmal,2014,December,1,1,6,8,1,1,1
1320,Yavatmal,2015,January,1,1,6,8,2,2,0
1321,Yavatmal,2015,February,1,1,6,7,2,2,0
1322,Yavatmal,2015,March,1,1,5,7,3,3,0
1323,Yavatmal,2015,April,1,1,4,4,4,4,0
1324,Yavatmal,2015,May,1,1,3,3,5,5,0
1325,Yavatmal,2015,June,2,3,2,2,3,4,0
1326,Yavatmal,2015,July,1,5,2,2,3,3,0
1327,Yavatmal,2015,August,3,4,3,2,3,3,0
1328,Yavatmal,2015,September,3,3,3,4,3,3,0
1329,Yavatmal,2015,October,1,1,5,6,3,3,0
1330,Yavatmal,2015,November,1,1,6,8,2,2,0
1331,Yavatmal,2015,December,1,1,6,8,2,1,0
1332,Yavatmal,2016,January,1,1,6,8,1,2,0
1333,Yavatmal,2016,February,1,1,6,7,2,2,0
1334,Yavatmal,2016,March,1,1,5,7,3,3,0
1335,Yavatmal,2016,April,1,1,3,4,4,4,0
1336,Yavatmal,2016,May,1,1,3,3,5,5,0
1337,Yavatmal,2016,June,3,3,2,2,3,4,0
1338,Yavatmal,2016,July,6,5,2,2,3,3,0
1339,Yavatmal,2016,August,2,4,2,2,2,3,0
1340,Yavatmal,2016,September,3,3,3,4,3,3,0
1341,Yavatmal,2016,October,2,1,4,6,3,3,0
1342,Yavatmal,2016,November,1,1,6,8,2,2,0
1343,Yavatmal,2016,December,1,1,6,8,2,1,0
1344,Latur,2001,January,1,1,5,7,2,2,1
1345,Latur,2001,February,1,1,4,6,3,2,1
1346,Latur,2001,March,1,1,3,5,3,3,0
1347,Latur,2001,April,1,1,3,4,4,4,1
1348,Latur,2001,May,1,1,2,2,4,4,1
1349,Latur,2001,June,3,2,1,2,3,3,1
1350,Latur,2001,July,1,4,2,2,3,3,1
1351,Latur,2001,August,3,3,2,3,2,3,0
1352,Latur,2001,September,2,3,4,4,3,3,1
1353,Latur,2001,October,3,2,3,5,3,3,1
1354,Latur,2001,November,1,1,5,6,2,2,0
1355,Latur,2001,December,1,1,5,7,2,2,0
1356,Latur,2002,January,1,1,5,7,2,2,1
1357,Latur,2002,February,1,1,4,6,3,2,1
1358,Latur,2002,March,1,1,4,5,3,3,0
1359,Latur,2002,April,1,1,3,4,4,4,1
1360,Latur,2002,May,1,1,1,2,4,4,1
1361,Latur,2002,June,3,2,1,2,3,3,1
1362,Latur,2002,July,1,4,2,2,3,3,1
1363,Latur,2002,August,3,3,2,3,2,3,0
1364,Latur,2002,September,2,3,4,4,3,3,1
1365,Latur,2002,October,2,2,4,5,3,3,1
1366,Latur,2002,November,1,1,5,6,2,2,0
1367,Latur,2002,December,1,1,5,7,2,2,0
1368,Latur,2003,January,1,1,5,7,2,2,1
1369,Latur,2003,February,1,1,4,6,3,2,1
1370,Latur,2003,March,1,1,4,5,4,3,0
1371,Latur,2003,April,1,1,3,4,4,4,1
1372,Latur,2003,May,1,1,1,2,4,4,1
1373,Latur,2003,June,3,2,1,2,3,3,1
1374,Latur,2003,July,3,4,2,2,3,3,1
1375,Latur,2003,August,3,3,2,3,2,3,0
1376,Latur,2003,September,3,3,3,4,3,3,1
1377,Latur,2003,October,3,2,3,5,2,3,1
1378,Latur,2003,November,1,1,4,6,2,2,0
1379,Latur,2003,December,1,1,4,7,2,2,0
1380,Latur,2004,January,1,1,5,7,1,2,1
1381,Latur,2004,February,1,1,4,6,2,2,1
1382,Latur,2004,March,1,1,4,5,3,3,0
1383,Latur,2004,April,1,1,3,4,3,4,1
1384,Latur,2004,May,1,1,2,2,4,4,1
1385,Latur,2004,June,2,2,2,2,3,3,1
1386,Latur,2004,July,6,4,2,2,3,3,1
1387,Latur,2004,August,2,3,3,3,3,3,0
1388,Latur,2004,September,3,3,3,4,3,3,1
1389,Latur,2004,October,2,2,4,5,3,3,1
1390,Latur,2004,November,1,1,4,6,3,2,0
1391,Latur,2004,December,1,1,5,7,2,2,0
1392,Latur,2005,January,1,1,5,7,2,2,0
1393,Latur,2005,February,1,1,5,6,2,2,0
1394,Latur,2005,March,1,1,4,5,3,3,0
1395,Latur,2005,April,1,1,2,4,4,4,0
1396,Latur,2005,May,1,1,2,2,4,4,0
1397,Latur,2005,June,2,2,2,2,4,3,0
1398,Latur,2005,July,6,4,2,2,3,3,0
1399,Latur,2005,August,3,3,3,3,3,3,0
1400,Latur,2005,September,5,3,3,4,3,3,0
1401,Latur,2005,October,4,2,3,5,3,3,0
1402,Latur,2005,November,1,1,5,6,2,2,0
1403,Latur,2005,December,1,1,5,7,1,2,0
1404,Latur,2006,January,1,1,5,7,2,2,0
1405,Latur,2006,February,1,1,5,6,3,2,0
1406,Latur,2006,March,1,1,4,5,3,3,0
1407,Latur,2006,April,1,1,3,4,4,4,0
1408,Latur,2006,May,1,1,2,2,4,4,0
1409,Latur,2006,June,3,2,1,2,3,3,0
1410,Latur,2006,July,3,4,2,2,3,3,0
1411,Latur,2006,August,5,3,2,3,2,3,0
1412,Latur,2006,September,5,3,3,4,2,3,0
1413,Latur,2006,October,1,2,4,5,3,3,0
1414,Latur,2006,November,1,1,5,6,2,2,0
1415,Latur,2006,December,1,1,5,7,2,2,0
1416,Latur,2007,January,1,1,6,7,2,2,0
1417,Latur,2007,February,1,1,5,6,2,2,0
1418,Latur,2007,March,1,1,4,5,3,3,0
1419,Latur,2007,April,1,1,3,4,4,4,0
1420,Latur,2007,May,1,1,2,2,4,4,0
1421,Latur,2007,June,4,2,1,2,3,3,0
1422,Latur,2007,July,2,4,2,2,2,3,0
1423,Latur,2007,August,3,3,2,3,3,3,0
1424,Latur,2007,September,5,3,3,4,3,3,0
1425,Latur,2007,October,1,2,4,5,3,3,0
1426,Latur,2007,November,1,1,4,6,2,2,0
1427,Latur,2007,December,1,1,5,7,2,2,0
1428,Latur,2008,January,1,1,6,7,2,2,0
1429,Latur,2008,February,1,1,5,6,2,2,0
1430,Latur,2008,March,2,1,4,5,3,3,0
1431,Latur,2008,April,1,1,3,4,4,4,0
1432,Latur,2008,May,1,1,2,2,4,4,0
1433,Latur,2008,June,1,2,2,2,3,3,0
1434,Latur,2008,July,2,4,2,2,3,3,0
1435,Latur,2008,August,3,3,3,3,2,3,0
1436,Latur,2008,September,6,3,3,4,3,3,0
1437,Latur,2008,October,1,2,4,5,3,3,0
1438,Latur,2008,November,1,1,5,6,2,2,0
1439,Latur,2008,December,1,1,5,7,2,2,0
1440,Latur,2009,January,1,1,6,7,2,2,1
1441,Latur,2009,February,1,1,4,6,2,2,1
1442,Latur,2009,March,1,1,4,5,3,3,0
1443,Latur,2009,April,1,1,3,4,4,4,1
1444,Latur,2009,May,1,1,1,2,4,4,1
1445,Latur,2009,June,1,2,2,2,3,3,1
1446,Latur,2009,July,2,4,2,2,3,3,1
1447,Latur,2009,August,3,3,2,3,2,3,0
1448,Latur,2009,September,2,3,4,4,2,3,1
1449,Latur,2009,October,1,2,4,5,2,3,1
1450,Latur,2009,November,1,1,4,6,2,2,0
1451,Latur,2009,December,1,1,5,7,1,2,0
1452,Latur,2010,January,1,1,6,7,2,2,0
1453,Latur,2010,February,1,1,4,6,2,2,0
1454,Latur,2010,March,1,1,4,5,3,3,0
1455,Latur,2010,April,1,1,3,4,4,4,0
1456,Latur,2010,May,1,1,1,2,4,4,0
1457,Latur,2010,June,2,2,2,2,3,3,0
1458,Latur,2010,July,6,4,2,2,3,3,0
1459,Latur,2010,August,7,3,2,3,2,3,0
1460,Latur,2010,September,4,3,3,4,2,3,0
1461,Latur,2010,October,2,2,3,5,2,3,0
1462,Latur,2010,November,1,1,4,6,2,2,0
1463,Latur,2010,December,1,1,4,7,1,2,0
1464,Latur,2011,January,1,1,5,7,1,2,1
1465,Latur,2011,February,1,1,4,6,2,2,1
1466,Latur,2011,March,1,1,3,5,3,3,0
1467,Latur,2011,April,1,1,3,4,3,4,1
1468,Latur,2011,May,1,1,2,2,4,4,1
1469,Latur,2011,June,1,2,2,2,3,3,1
1470,Latur,2011,July,6,4,2,2,3,3,1
1471,Latur,2011,August,5,3,2,3,2,3,0
1472,Latur,2011,September,2,3,3,4,2,3,1
1473,Latur,2011,October,1,2,4,5,2,3,1
1474,Latur,2011,November,1,1,4,6,2,2,0
1475,Latur,2011,December,1,1,5,7,2,2,0
1476,Latur,2012,January,1,1,5,7,2,2,1
1477,Latur,2012,February,1,1,4,6,2,2,1
1478,Latur,2012,March,1,1,3,5,3,3,0
1479,Latur,2012,April,1,1,3,4,4,4,1
1480,Latur,2012,May,1,1,2,2,4,4,1
1481,Latur,2012,June,2,2,2,2,4,3,1
1482,Latur,2012,July,3,4,2,2,3,3,1
1483,Latur,2012,August,3,3,2,3,2,3,0
1484,Latur,2012,September,3,3,3,4,2,3,1
1485,Latur,2012,October,3,2,4,5,2,3,1
1486,Latur,2012,November,1,1,4,6,2,2,0
1487,Latur,2012,December,1,1,5,7,1,2,0
1488,Latur,2013,January,1,1,5,7,1,2,0
1489,Latur,2013,February,1,1,4,6,2,2,0
1490,Latur,2013,March,1,1,4,5,3,3,0
1491,Latur,2013,April,1,1,2,4,4,4,0
1492,Latur,2013,May,1,1,2,2,4,4,0
1493,Latur,2013,June,3,2,1,2,3,3,0
1494,Latur,2013,July,6,4,2,2,3,3,0
1495,Latur,2013,August,3,3,2,3,2,3,0
1496,Latur,2013,September,3,3,3,4,2,3,0
1497,Latur,2013,October,2,2,3,5,2,3,0
1498,Latur,2013,November,1,1,5,6,2,2,0
1499,Latur,2013,December,1,1,5,7,1,2,0
1500,Latur,2014,January,1,1,5,7,2,2,1
1501,Latur,2014,February,1,1,4,6,2,2,1
1502,Latur,2014,March,1,1,4,5,3,3,0
1503,Latur,2014,April,1,1,3,4,4,4,1
1504,Latur,2014,May,1,1,2,2,4,4,1
1505,Latur,2014,June,1,2,2,2,3,3,1
1506,Latur,2014,July,2,4,2,2,2,3,1
1507,Latur,2014,August,4,3,2,3,3,3,0
1508,Latur,2014,September,1,3,3,4,3,3,1
1509,Latur,2014,October,1,2,4,5,3,3,1
1510,Latur,2014,November,1,1,5,6,2,2,0
1511,Latur,2014,December,1,1,5,7,1,2,0
1512,Latur,2015,January,1,1,5,7,2,2,0
1513,Latur,2015,February,1,1,5,6,3,2,0
1514,Latur,2015,March,1,1,4,5,3,3,0
1515,Latur,2015,April,1,1,3,4,4,4,0
1516,Latur,2015,May,1,1,2,2,4,4,0
1517,Latur,2015,June,2,2,2,2,3,3,0
1518,Latur,2015,July,1,4,2,2,3,3,0
1519,Latur,2015,August,2,3,3,3,2,3,0
1520,Latur,2015,September,3,3,3,4,3,3,0
1521,Latur,2015,October,1,2,4,5,3,3,0
1522,Latur,2015,November,1,1,4,6,2,2,0
1523,Latur,2015,December,1,1,5,7,2,2,0
1524,Latur,2016,January,1,1,5,7,2,2,0
1525,Latur,2016,February,1,1,4,6,3,2,0
1526,Latur,2016,March,1,1,4,5,3,3,0
1527,Latur,2016,April,1,1,2,4,4,4,0
1528,Latur,2016,May,1,1,2,2,4,4,0
1529,Latur,2016,June,3,2,2,2,3,3,0
1530,Latur,2016,July,5,4,2,2,3,3,0
1531,Latur,2016,August,2,3,2,3,2,3,0
1532,Latur,2016,September,7,3,3,4,2,3,0
1533,Latur,2016,October,3,2,4,5,3,3,0
1534,Latur,2016,November,1,1,5,6,2,2,0
1535,Latur,2016,December,1,1,5,7,2,2,0
